Date,MeanTemp,GHG emmisions
06/03/1904,-0.46,96612830.54
06/03/1904,-0.5129,94187383.73
06/04/1904,-0.5,106261664.5
06/04/1904,-0.4717,98042776.31
06/05/1904,-0.5,101410245.5
06/05/1904,-0.4282,104995727
06/06/1904,-0.49,94374466.55
06/06/1904,-0.4403,103902095
06/07/1904,-0.48,95927544.41
06/07/1904,-0.4597,107559064.3
06/08/1904,-0.43,100780646.8
06/08/1904,-0.4314,106813986.2
06/09/1904,-0.47,94501066.04
06/09/1904,-0.4632,96183918.99
06/10/1904,-0.35,101645537.7
06/10/1904,-0.4066,104266498.9
06/11/1904,-0.16,107145237.9
06/11/1904,-0.1686,97119603.47
06/12/1904,-0.29,98054054.47
06/12/1904,-0.2414,107130773.8
06/01/1905,-0.38,109794082
06/01/1905,-0.354,111981835.4
06/02/1905,-0.59,102024477.9
06/02/1905,-0.6187,109435731.8
06/03/1905,-0.25,106960758.7
06/03/1905,-0.394,112801345.3
06/04/1905,-0.36,97420502.1
06/04/1905,-0.4481,107971913.4
06/05/1905,-0.33,114601702.5
06/05/1905,-0.2879,108359452.9
06/06/1905,-0.31,107063633.2
06/06/1905,-0.2503,103476262.1
06/07/1905,-0.25,107473736.5
06/07/1905,-0.1918,114280413.8
06/08/1905,-0.21,101251185.5
06/08/1905,-0.2275,106124165.8
06/09/1905,-0.15,100928824.9
06/09/1905,-0.2239,108779926.2
06/10/1905,-0.23,99896403.07
06/10/1905,-0.296,100471302.4
06/11/1905,-0.08,102284992.2
06/11/1905,-0.0916,106012175.7
06/12/1905,-0.21,104820306.4
06/12/1905,-0.1334,110000230.9
06/01/1906,-0.31,127660204.1
06/01/1906,-0.1755,127841127
06/02/1906,-0.34,116403453.6
06/02/1906,-0.2379,128723148.3
06/03/1906,-0.15,120473398.7
06/03/1906,-0.1484,121191865.3
06/04/1906,-0.02,112515376.7
06/04/1906,-0.0514,121758939
06/05/1906,-0.21,123497206.3
06/05/1906,-0.2166,116974309.4
06/06/1906,-0.22,123968409
06/06/1906,-0.1768,120881923
06/07/1906,-0.27,117747308.7
06/07/1906,-0.2467,111458558
06/08/1906,-0.19,129137753.3
06/08/1906,-0.2362,120642393
06/09/1906,-0.25,111122079.3
